Product Title,Product Price,Product Rating,Total Rating,Total Sales,Shortened Title,Sales,Overall Product Rating
Fortnite Transformers Pack (Game Download Code in Box) - PS5,£19.95,4.9 out of 5 stars,11,700+ bought in past month,Fortnite Transformers Pack,700.0,4.9
Capcom Resident Evil 4 Remake (PS5),£26.99,4.8 out of 5 stars,748,3K+ bought in past month,Capcom Resident Evil,3000.0,4.8
Minecraft Legends - Deluxe Edition - PS4,£38.96,4.8 out of 5 stars,14,700+ bought in past month,Minecraft Legends -,700.0,4.8
Grand Theft Auto V (PS5),£16.99,4.7 out of 5 stars,1,4K+ bought in past month,Grand Theft Auto,4000.0,4.7
Stray (PS5),£17.95,4.7 out of 5 stars,835,1K+ bought in past month,Stray (PS5),1000.0,4.7
EA SPORTS FC 24 Standard Edition PS4 | VideoGame | English,£49.99,4.6 out of 5 stars,250,8K+ bought in past month,EA SPORTS FC,8000.0,4.6
"ADZ Universal Game Storage Tower – Stores 36 Game or Blu-Ray Disks – Game Holder Rack for PS4, PS5, Xbox One, Xbox Series X/S, Nintendo Switch Games and Blu-Ray Discs (White)",£23.86,4.6 out of 5 stars,436,50+ bought in past month,ADZ Universal Game,50.0,4.6
Nickelodeon Kart Racers 2: Grand Prix (PS4),£12.99,4.5 out of 5 stars,486,200+ bought in past month,Nickelodeon Kart Racers,200.0,4.5
Grand Theft Auto: The Trilogy - The Definitive Edition (PS4),£14.95,4.5 out of 5 stars,1,800+ bought in past month,Grand Theft Auto:,800.0,4.5
SpongeBob SquarePants Cosmic Shake - PlayStation 4,£16.19,4.5 out of 5 stars,351,100+ bought in past month,SpongeBob SquarePants Cosmic,100.0,4.5
Sonic Colours Ultimate with Baby Sonic Keychain (Exclusive to Amazon.co.UK) (PS4),£19.99,4.5 out of 5 stars,491,300+ bought in past month,Sonic Colours Ultimate,300.0,4.5
Marvel's Avengers (PS5),£17.99,4.5 out of 5 stars,1,300+ bought in past month,Marvel's Avengers (PS5),300.0,4.5
NERF Legends (PS4),£22.95,4.5 out of 5 stars,210,100+ bought in past month,NERF Legends (PS4),100.0,4.5
WWE 2K22 (PS5),£13.67,4.4 out of 5 stars,828,50+ bought in past month,WWE 2K22 (PS5),50.0,4.4
Dying Light 2 Stay Human (PlayStation 5),£25.00,4.4 out of 5 stars,1,500+ bought in past month,Dying Light 2,500.0,4.4
STAR WARS: Tales from the Galaxy’s Edge - Enhanced Edition (PlayStation VR2),£39.99,4.3 out of 5 stars,34,100+ bought in past month,STAR WARS: Tales,100.0,4.3
The Addams Family: Mansion Mayhem - PlayStation 4,£23.72,4.3 out of 5 stars,308,,The Addams Family:,,4.3
SEGA Mega Drive Classics (PS4),£19.49,4.2 out of 5 stars,1,200+ bought in past month,SEGA Mega Drive,200.0,4.2
Assassin's Creed Mirage Launch Edition (Exclusive to Amazon.co.uk) (PS5),£34.99,4.2 out of 5 stars,371,5K+ bought in past month,Assassin's Creed Mirage,5000.0,4.2
Forspoken (PlayStation 5),£19.95,4.2 out of 5 stars,221,2K+ bought in past month,Forspoken (PlayStation 5),2000.0,4.2
"Flying Ball, Hover Boomerang Orb Ball Flying Spinner Mini Drone, UFO Smart Sensor Fly Orbi Ball Toy, Magic Gyration Levitating Floating Orb, Cool Stuff Gift For 6 7 8 9 10+ Kids Teens Indoor Outdoor",£23.49,4.0 out of 5 stars,1,2K+ bought in past month,"Flying Ball, Hover",2000.0,4.0
Farming Simulator 22 Premium Edition - PS4,£44.99,Previous page,-1,50+ bought in past month,Farming Simulator 22,50.0,
